title,price,rating,stock,category,upc,image_url,detail_url,tax,reviews
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,19,未分类,0312262ecafa5a40,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,0.0,0
Shakespeare's Sonnets,20.66,4,19,未分类,30a7f60cd76ca58c,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,0.0,0
Set Me Free,17.46,5,19,未分类,ce6396b0f23f6ecc,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,https://books.toscrape.com/catalogue/set-me-free_988/index.html,0.0,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,19,未分类,3b1c02bac2a429e6,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,0.0,0
Rip it Up and Start Again,35.02,5,19,未分类,a34ba96d4081e6a4,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,0.0,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,19,未分类,deda3e61b9514b83,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,0.0,0
Olio,23.88,1,19,未分类,feb7cc7701ecf901,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,https://books.toscrape.com/catalogue/olio_984/index.html,0.0,0
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,19,未分类,e30f54cea9b38190,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,0.0,0
Libertarianism for Beginners,51.33,2,19,未分类,a18a4f574854aced,https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,0.0,0
It's Only the Himalayas,45.17,2,19,未分类,a22124811bfa8350,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,0.0,0
In Her Wake,12.84,1,19,未分类,23356462d1320d61,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,0.0,0
How Music Works,37.32,2,19,未分类,327f68a59745c102,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,https://books.toscrape.com/catalogue/how-music-works_979/index.html,0.0,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,19,未分类,5674a18a29a43ced,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,0.0,0
Chase Me (Paris Nights #2),25.27,5,19,未分类,c2e46a2ee3b4a322,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,0.0,0
Black Dust,34.53,5,19,未分类,00bfed9e18bb36f3,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,https://books.toscrape.com/catalogue/black-dust_976/index.html,0.0,0
Birdsong: A Story in Pictures,54.64,3,19,未分类,9528d0948525bf5f,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,0.0,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,19,未分类,c7d160c2c0de586f,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,0.0,0
Aladdin and His Wonderful Lamp,53.13,3,19,未分类,904208d6aa64b655,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,0.0,0
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,18,未分类,4c28def39d850cdf,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,0.0,0
Wall and Piece,44.18,4,18,未分类,ccd9ffa25efabdea,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,0.0,0
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,18,未分类,6258a1f6a6dcfe50,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,0.0,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,18,未分类,3c039985229453bf,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,0.0,0
The Elephant Tree,23.82,5,18,未分类,5dada2b7be26bd03,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,0.0,0
The Bear and the Piano,36.89,1,18,未分类,9f6568e9c95f60b0,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,0.0,0
Sophie's World,15.94,5,18,未分类,6be3beb0793a53e7,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,https://books.toscrape.com/catalogue/sophies-world_966/index.html,0.0,0
Penny Maybe,33.29,3,18,未分类,668fe56b17cfcd4f,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,0.0,0
Maude (1883-1993):She Grew Up with the country,18.02,2,18,未分类,094b269567e1c300,https://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,0.0,0
"In a Dark, Dark Wood",19.63,1,18,未分类,19ed25f4641d5efd,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,0.0,0
Behind Closed Doors,52.22,4,18,未分类,be5cc846f45496fb,https://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,0.0,0
You can't bury them all: Poems,33.63,2,17,未分类,55f9da0c5eea2e10,https://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,0.0,0
Slow States of Collapse: Poems,57.31,3,17,未分类,b4fd5943413e089a,https://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,0.0,0
Reasons to Stay Alive,26.41,2,17,未分类,c8f7f0cb1abb9cac,https://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,0.0,0
Private Paris (Private #10),47.61,5,17,未分类,b12b89017878a60d,https://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,0.0,0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,17,未分类,c27f6e1f185b0383,https://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,0.0,0
Without Borders (Wanderlove #1),45.07,2,16,未分类,acddfeab2a407640,https://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,0.0,0
When We Collided,31.77,1,16,未分类,3ecb690d1542c568,https://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,0.0,0
"We Love You, Charlie Freeman",50.27,5,16,未分类,8d455c7539795d2a,https://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,0.0,0
Untitled Collection: Sabbath Poems 2014,14.27,4,16,未分类,657fe5ead67a7767,https://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,0.0,0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,16,未分类,d170b5a0da46380e,https://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,0.0,0
Unicorn Tracks,18.78,3,16,未分类,7ae099f3898e0209,https://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,0.0,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,16,未分类,9a9d6e9bc555731e,https://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,0.0,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,16,未分类,09555be379ad9253,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,0.0,0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,16,未分类,7858914fad68493c,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,0.0,0
This One Summer,19.49,4,16,未分类,51653ef291ab7ddc,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,0.0,0
Thirst,17.27,5,16,未分类,709822d0b5bcb7f4,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,https://books.toscrape.com/catalogue/thirst_946/index.html,0.0,0
The Torch Is Passed: A Harding Family Story,19.09,1,16,未分类,4eed62cf5f8d8edf,https://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,0.0,0
The Secret of Dreadwillow Carse,56.13,1,16,未分类,b5ea0b5dabed25a8,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,0.0,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,16,未分类,142d767a56a9254d,https://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,0.0,0
The Past Never Ends,56.5,4,16,未分类,5ee94540d0749ea0,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,0.0,0
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,16,未分类,cedf82b5086e4691,https://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,0.0,0
